"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"08/01/2023 02:00 - 08/01/2023 03:00","BZN|CZ","5642.30","5712.00"
"08/01/2023 03:00 - 08/01/2023 04:00","BZN|CZ","5631.86","5718.00"
"08/01/2023 04:00 - 08/01/2023 05:00","BZN|CZ","5747.03","5742.00"
"08/01/2023 05:00 - 08/01/2023 06:00","BZN|CZ","5835.35","5763.00"
"08/01/2023 06:00 - 08/01/2023 07:00","BZN|CZ","6046.59","5972.00"
"08/01/2023 07:00 - 08/01/2023 08:00","BZN|CZ","6367.69","6260.00"
"08/01/2023 08:00 - 08/01/2023 09:00","BZN|CZ","6643.20","6498.00"
"08/01/2023 09:00 - 08/01/2023 10:00","BZN|CZ","7128.46","7170.00"
"08/01/2023 10:00 - 08/01/2023 11:00","BZN|CZ","7484.31","7491.00"
"08/01/2023 11:00 - 08/01/2023 12:00","BZN|CZ","7701.64","7692.00"
"08/01/2023 12:00 - 08/01/2023 13:00","BZN|CZ","7600.66","7591.00"
"08/01/2023 13:00 - 08/01/2023 14:00","BZN|CZ","7582.21","7552.00"
"08/01/2023 14:00 - 08/01/2023 15:00","BZN|CZ","7462.22","7463.00"
"08/01/2023 15:00 - 08/01/2023 16:00","BZN|CZ","7445.63","7517.00"
"08/01/2023 16:00 - 08/01/2023 17:00","BZN|CZ","7507.94","7581.00"
"08/01/2023 17:00 - 08/01/2023 18:00","BZN|CZ","7520.75","7619.00"
"08/01/2023 18:00 - 08/01/2023 19:00","BZN|CZ","7588.90","7615.00"
"08/01/2023 19:00 - 08/01/2023 20:00","BZN|CZ","7549.26","7587.00"
"08/01/2023 20:00 - 08/01/2023 21:00","BZN|CZ","7409.94","7418.00"
"08/01/2023 21:00 - 08/01/2023 22:00","BZN|CZ","7137.42","7114.00"
"08/01/2023 22:00 - 08/01/2023 23:00","BZN|CZ","6978.73","6981.00"
"08/01/2023 23:00 - 09/01/2023 00:00","BZN|CZ","6638.67","6711.00"
"09/01/2023 00:00 - 09/01/2023 01:00","BZN|CZ","6431.26","6494.00"
"09/01/2023 01:00 - 09/01/2023 02:00","BZN|CZ","6419.01","6539.00"
"09/01/2023 02:00 - 09/01/2023 03:00","BZN|CZ","6297.76","6396.00"
"09/01/2023 03:00 - 09/01/2023 04:00","BZN|CZ","6270.66","6332.00"
